_id	sentence	sense	broadsense	supersense	compound_status	_text	wordform	building_bool	building	comm	organization	set_of_beliefs
church/N/br-a01/2073	`` Being at the polls was just like being at church . I did n't smell a drop of liquor ,	c3	service	C	simply_church	was just like being at <span class='hit'>church</span> . I did n't smell	church	FALSE	activity	NR	NR	practice
church/N/br-d03/1080	While it must be said that these same Protestants have built some new churches during this period , and that religious population shifts have emptied churches , a principal reason for this phenomenon of redundancy is that fewer Protestants are going to church . It should be admitted , too , that there	c3	service	C	simply_church	fewer Protestants are going to <span class='hit'>church</span> . It should be admitted	church	FALSE	activity	participation	NR	practice
church/N/br-d03/1342	It has been my experience to find as many men as women in church , and to hear almost everyone in church congregations reciting the Latin prayers and responses at Mass .	c3	service	C	simply_church	many men as women in <span class='hit'>church</span> , and to hear almost	church	FALSE	activity	participation	NR	practice
church/N/br-d03/1472	'' . A hymn often to be heard in Catholic churches is `` Faith of our Fathers '' , which glories in England 's ancient faith that endured persecution , and which proclaims : `` Faith of our Fathers : Mary 's prayers / Shall win our country back to thee '' .	c3	building	C	simply_church	to be heard in Catholic <span class='hit'>churches</span> is `` Faith of our	churches	FALSE	activity	participation	NR	practice
church/N/br-d06/2048	We trust you are not one of the 70000000 Americans who do not attend church , but who feel that various forms of recreation are more important than worshipping the God who made our country great .	c3	service	C	simply_church	Americans who do not attend <span class='hit'>church</span> , but who feel that	church	FALSE	activity	participation	NR	practice
church/N/br-l08/1824	She 'd say she did n't feel good on Sunday , could n't go to church - there 'd be a little argument , but she could be stubborn - and when the old woman had gone , quick pack the things she 'd need to take , all but the dress she 'd wear Monday , and take the bag down to that place in the station where you could put things in a locker overnight , for a dime .	c3	service	C	simply_church	, could n't go to <span class='hit'>church</span> - there 'd be a	church	FALSE	activity	NR	NR	practice
church/N/br-m01/2358	This continued most of the week following that ill-starred trip to church , during which period Mike stayed in his room and usually in a trance so deep that Jubal would have pronounced him dead had he not seen it before .	NA	service	NA	simply_church	following that ill-starred trip to NA , during which period Mike	NA	FALSE	activity	NR	NR	practice
church/N/br-p01/222	elders . Youth obeyed when commanded . It went to church on Sunday and one Saturday a month went to confession .	c3	service	C	simply_church	commanded . It went to <span class='hit'>church</span> on Sunday and one Saturday	church	FALSE	activity	participation	NR	practice
church/N/br-p03/76	California . He 'd mentioned it , himself , at church and everybody seemed to have the idea that Tolley had left because Jenny had jilted him for Roy robards .	c3	service	C	simply_church	it , himself , at <span class='hit'>church</span> and everybody seemed to have	church	FALSE	activity	participation	NR	practice
church/N/br-p03/933	. And do n't tell me you did n't at church Sunday . I heard you '' ! He really had	c3	service	C	simply_church	me you did n't at <span class='hit'>church</span> Sunday . I heard you	church	FALSE	activity	NR	NR	practice
church/N/br-p12/1260	`` I think I 'll sleep in this morning '' , she said drowsily , and as she snuggled against him , he wondered if she ever went to church . Why did he want her to go to church	c3	service	C	simply_church	if she ever went to <span class='hit'>church</span> . Why did he want	church	FALSE	activity	participation	NR	practice
church/N/br-p12/1270	church . Why did he want her to go to church ? he wondered . Probably because it was a place	c3	service	C	simply_church	want her to go to <span class='hit'>church</span> ? he wondered . Probably	church	FALSE	activity	participation	NR	practice
church/N/br-p12/1559	Just the same , he thought , pondering over it , it would be a good thing for a girl like Carla if she got up and went to church . A half-hour later he got her up to go	c3	service	C	simply_church	got up and went to <span class='hit'>church</span> . A half-hour later he	church	FALSE	activity	NR	NR	practice
church/N/br-a10/1831	'' . `` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons .	b	congregation	B	simply_church	years we have opened 7000 <span class='hit'>churches</span> '' , the Rev. Mr.	churches	FALSE	congregation	NR	administration	evangelism
church/N/br-a10/1850	`` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons . `` In this light we	b	congregation	B	simply_church	a national goal of one <span class='hit'>church</span> for every 10000 persons .	church	FALSE	congregation	membership	administration	evangelism
church/N/br-a10/1863	"10000 persons . `` In this light we need 1000 churches in Illinois , where we have 200 ; 800 in Southern New England , we have 60 ; we need 100 in Rhode Island , we have none '' , he said ."	b	congregation	B	simply_church	this light we need 1000 <span class='hit'>churches</span> in Illinois , where we	churches	FALSE	congregation	NR	administration	evangelism
church/N/br-a10/1918	To step up the denomination 's program , the Rev. Mr. Brandt suggested the vision of 8000 new Assemblies of God churches in the next 10 years . To accomplish this would	b	congregation	B	simply_church	8000 new Assemblies of God <span class='hit'>churches</span> in the next 10 years	churches	FALSE	congregation	NR	administration	evangelism
church/N/br-a10/1980	A capsule view of proposed plans includes : Encouraging by every means , all existing Assemblies of God churches to start new churches . Engaging mature , experienced men	b	congregation	B	simply_church	all existing Assemblies of God <span class='hit'>churches</span> to start new churches .	churches	FALSE	congregation	NR	administration	evangelism
church/N/br-a10/1984	A capsule view of proposed plans includes : Encouraging by every means , all existing Assemblies of God churches to start new churches . Engaging mature , experienced men to pioneer or open	b	congregation	B	simply_church	God churches to start new <span class='hit'>churches</span> . Engaging mature , experienced	churches	FALSE	congregation	participation	administration	evangelism
church/N/br-a10/1996	Engaging mature , experienced men to pioneer or open new churches in strategic population centers . Surrounding pioneer pastors with vocational	b	congregation	B	simply_church	to pioneer or open new <span class='hit'>churches</span> in strategic population centers .	churches	FALSE	congregation	participation	administration	evangelism
church/N/br-a10/2022	Surrounding pioneer pastors with vocational volunteers ( laymen , who will be urged to move into the area of new churches in the interest of lending their support to the new project ) .	b	congregation	B	simply_church	into the area of new <span class='hit'>churches</span> in the interest of lending	churches	FALSE	congregation	NR	administration	evangelism
church/N/br-a10/2051	Arranging for ministerial graduates to spend from 6 - 12 months as apprentices in well-established churches . U. S. Dist. Judge Charles L. Powell denied all	b	congregation	B	simply_church	months as apprentices in well-established <span class='hit'>churches</span> . U. S. Dist. Judge	churches	FALSE	congregation	participation	administration	evangelism
church/N/br-a18/760	party . The women 's committee of St. David 's Church will hold its annual pre-Fair pink parade , a dessert bridge and fashion show at 1 P. M. on Monday , April 17 , in the chapel assembly room , Wayne .	c2	congregation	C	simply_church	committee of St. David 's <span class='hit'>Church</span> will hold its annual pre-Fair	Church	FALSE	congregation	participation	assembly	NR
church/N/br-a31/1594	So the Christian Youth Crusade against Communisn developed and more than 300 top teenagers and 65 adult advisers from Presbyterian churches of the area sat enthralled at the four-hour program .	b	congregation	B	simply_church	65 adult advisers from Presbyterian <span class='hit'>churches</span> of the area sat enthralled	churches	FALSE	congregation	participation	NR	NR
church/N/br-a31/1753	may be set up soon . And to encourage other churches to try their own programs , Kern said this Sunday 's sessions - including the free dinner - will be open to anyone who makes reservations .	b	congregation	B	simply_church	. And to encourage other <span class='hit'>churches</span> to try their own programs	churches	FALSE	congregation	participation	administration	evangelism
church/N/br-a31/2120	Trinity Methodist Church . He is the sexton of the church . A family worship service will follow the program at	c2	congregation	C	simply_church	is the sexton of the <span class='hit'>church</span> . A family worship service	church	FALSE	congregation	NR	hierarchy	NR
church/N/br-a31/2241	and 11 a. m. Sunday . New officers of the church will be ordained and installed at the 7 : 30 p. m. service .	a2	organization	A	simply_church	. New officers of the <span class='hit'>church</span> will be ordained and installed	church	FALSE	congregation	NR	hierarchy	NR
church/N/br-b04/1480	money and his name : Does it assail schools and churches with blanket accusations ? Does it attack other traditional American	b	congregation	B	simply_church	Does it assail schools and <span class='hit'>churches</span> with blanket accusations ? Does	churches	FALSE	congregation	NR	institution	NR
church/N/br-b08/1804	But I was deeply moved by his letter of resignation as rector of St. Luke 's Church in Atlanta . It was the cry of not just	c2	congregation	C	simply_church	rector of St. Luke 's <span class='hit'>Church</span> in Atlanta . It was	Church	FALSE	congregation	NR	hierarchy	NR
church/N/br-b08/1871	of service to this majestic church . `` Such a church needs vigor and vitality in its rector and one man has only so much of these endowments '' , he told his members .	c2	congregation	C	simply_church	church . `` Such a <span class='hit'>church</span> needs vigor and vitality in	church	FALSE	congregation	believers	hierarchy	NR
church/N/br-d03/110	The Church Unity Octave , January 18 - 25 , was enthusiastically devoted to prayer and discussion by the various churches . Many people seem hopeful , yet it is difficult	a2	congregation	A	simply_church	and discussion by the various <span class='hit'>churches</span> . Many people seem hopeful	churches	FALSE	congregation	participation	NR	NR
church/N/br-d03/849	The Protestants themselves are the first to admit the great falling off in effective membership in their churches . According to a newspaper report of the 1961 statistics	b	congregation	B	simply_church	in effective membership in their <span class='hit'>churches</span> . According to a newspaper	churches	FALSE	congregation	membership	NR	NR
church/N/br-d06/2174	. No amount of religious ceremonies or even joining a church will relieve the gnawing of your `` inner '' space .	b	congregation	B	simply_church	ceremonies or even joining a <span class='hit'>church</span> will relieve the gnawing of	church	FALSE	congregation	membership	NR	NR
church/N/br-d07/216	One of the most wholesome things you could schedule in your church would thus be a group confessional where people could admit of their inner tensions '' .	b1	congregation	B	simply_church	you could schedule in your <span class='hit'>church</span> would thus be a group	church	FALSE	congregation	participation	NR	practice
church/N/br-d09/1216	For most of them , it will be their first experience in membership training , since this is a recent development in many churches . Those coming from other denominations will welcome the opportunity	b	congregation	B	simply_church	a recent development in many <span class='hit'>churches</span> . Those coming from other	churches	FALSE	congregation	NR	administration	NR
church/N/br-d09/1260	It provides a natural transition into the life of the local church and its organizations . The total process of evangelism reaches	b	congregation	B	simply_church	the life of the local <span class='hit'>church</span> and its organizations . The	church	FALSE	congregation	participation	administration	NR
church/N/br-d09/181	the Church . Neglect means spiritual paralysis or death . Churches that have a carefully planned program of membership preparation and assimilation often keep 85 to 90 per cent of their new members loyal and active .	b	congregation	B	simply_church	spiritual paralysis or death . <span class='hit'>Churches</span> that have a carefully planned	Churches	FALSE	congregation	membership	administration	evangelism
church/N/br-d09/1910	This problem is illustrated by the fact that many local churches drop from the active membership rolls each year as many as they receive into the fellowship .	b	congregation	B	simply_church	the fact that many local <span class='hit'>churches</span> drop from the active membership	churches	FALSE	congregation	membership	administration	NR
church/N/br-d09/1946	Studies of membership trends , even in some areas where population is expanding , show that numbers of churches have had little net increase , though many new members were received .	b	congregation	B	simply_church	, show that numbers of <span class='hit'>churches</span> have had little net increase	churches	FALSE	congregation	membership	administration	NR
church/N/br-d09/2026	and carefully developed . The entire membership of the local church must be alerted to their part in this dynamic process .	b	congregation	B	simply_church	entire membership of the local <span class='hit'>church</span> must be alerted to their	church	FALSE	congregation	membership	administration	NR
church/N/br-d09/2040	to their part in this dynamic process . If the church has followed the plan of cultivation of prospects and carried through a program of membership preparation as outlined earlier in this book , the process of assimilation and growth will be well under way .	b	congregation	B	simply_church	dynamic process . If the <span class='hit'>church</span> has followed the plan of	church	FALSE	congregation	membership	administration	NR
church/N/br-d09/2084	way . Those who enter the front door of the church intelligently and with Christian dedication will not so easily step through the back door because of lost interest .	a2	congregation	A	simply_church	the front door of the <span class='hit'>church</span> intelligently and with Christian dedication	church	FALSE	congregation	membership	NR	devotion
church/N/br-d09/2131	meaning of Christian discipleship . When they unite with the Church they must find in this fellowship the satisfaction of their basic spiritual needs or they will never mature into effective Christians .	a2	congregation	A	simply_church	When they unite with the <span class='hit'>Church</span> they must find in this	Church	FALSE	congregation	membership	NR	devotion
church/N/br-d09/502	of preparation for membership is necessary for adults . Some churches require more . None should ask less . Those who	b	congregation	B	simply_church	necessary for adults . Some <span class='hit'>churches</span> require more . None should	churches	FALSE	congregation	membership	agentivity	doctrine
church/N/br-d09/559	to it if membership requires something of them . Many churches find the Sunday school hour to be the most practical time for adult preparation classes .	b	congregation	B	simply_church	something of them . Many <span class='hit'>churches</span> find the Sunday school hour	churches	FALSE	congregation	participation	administration	evangelism
church/N/br-d09/724	In this session the persons seeking membership are provided information concerning the work of the denomination as well as the program and activities of the local church . The lay leadership of the church may be invited	b	congregation	B	simply_church	and activities of the local <span class='hit'>church</span> . The lay leadership of	church	FALSE	congregation	participation	administration	evangelism
church/N/br-d09/731	of the local church . The lay leadership of the church may be invited to speak on the various phases of church life , service opportunities , the church school , missions , men 's work , women 's work , youth program , social activities , and finances .	b	organization	B	simply_church	The lay leadership of the <span class='hit'>church</span> may be invited to speak	church	FALSE	congregation	membership	hierarchy	NR
church/N/br-d09/775	social activities , and finances . The budget of the church may be presented and pledges solicited at this session .	b	congregation	B	simply_church	. The budget of the <span class='hit'>church</span> may be presented and pledges	church	FALSE	congregation	NR	administration	NR
church/N/br-d09/891	found effective . Extend the number of classes . Some churches have six or more training sessions of two hours each , generally held on Sunday night or during the week .	b	congregation	B	simply_church	number of classes . Some <span class='hit'>churches</span> have six or more training	churches	FALSE	congregation	participation	NR	evangelism
church/N/br-d10/1095	Africans and Asians tend to consider not only missions but the local churches they have produced as centers and agents of Western culture and ideology if not of direct political propaganda .	b	congregation	B	simply_church	only missions but the local <span class='hit'>churches</span> they have produced as centers	churches	FALSE	congregation	membership	administration	evangelism
church/N/br-d10/305	"Some persons are so sensitive to this truth as to propose that we do away with institutions altogether ; in the present context this amounts to the advice that while being religious may have a certain justification , we ought to dispense with churches . The suggestion is naive . Man is at once"	b	congregation	B	simply_church	we ought to dispense with <span class='hit'>churches</span> . The suggestion is naive	churches	FALSE	congregation	membership	assembly	NR
church/N/br-d14/199	As we have seen , a growing proportion , although in 1914 still a minority , were members of churches . Presumably those who did not have a formal church	b	congregation	B	simply_church	minority , were members of <span class='hit'>churches</span> . Presumably those who did	churches	FALSE	congregation	membership	NR	NR
church/N/br-d14/234	. Many of them had once been members of a church or at least had been given instruction in Christianity but for one or another reason had allowed the connexion to lapse .	b	congregation	B	simply_church	once been members of a <span class='hit'>church</span> or at least had been	church	FALSE	congregation	membership	NR	evangelism
church/N/br-d14/457	The temptation is to say that , as the percentage of church members mounted , the degree of discipline exercised by the churches lessened and the trend was towards conformity to the general level .	a2	congregation	A	simply_church	of discipline exercised by the <span class='hit'>churches</span> lessened and the trend was	churches	FALSE	congregation	membership	agentivity	doctrine
church/N/br-d14/507	ethical codes to which the majority subscribed . Thus Baptist churches on the frontier took cognizance of charges against their members of drunkenness , fighting , malicious gossip , lying , cheating , sexual irregularities , gambling , horse racing , and failure to pay just debts .	b	congregation	B	simply_church	majority subscribed . Thus Baptist <span class='hit'>churches</span> on the frontier took cognizance	churches	FALSE	congregation	membership	agentivity	NR
church/N/br-d17/569	For example , early in my life , when one of my editorial workers wanted to find out how churches and philanthropic organizations met the needs of New York 's down-and-outers , he did n't just ask questions .	a2	congregation	A	simply_church	wanted to find out how <span class='hit'>churches</span> and philanthropic organizations met the	churches	FALSE	congregation	NR	institution	NR
church/N/br-f44/1076	"This means that the antennae of the congregation are extended into the community , picking up the wave lengths of those who will fit into the social and economic level of the congregation ; the mission of the church is actually a process of informal co-optation ; the lay ministry is a means to recruit like-minded people who will strengthen the social class nucleus of the congregation ."	b	organization	B	simply_church	"; the mission of the <span class='hit'>church</span> is actually a process of"	church	FALSE	congregation	membership	administration	evangelism
church/N/br-f44/1106	"will strengthen the social class nucleus of the congregation . Churches can be strengthened through this process of co-optation so long as the environs of the church provide a sufficient pool of people who can fit the pattern of economic integration ; once the pool of recruits diminishes , the congregation is helpless - friendly contacts no longer keep it going ."	b	congregation	B	simply_church	nucleus of the congregation . <span class='hit'>Churches</span> can be strengthened through this	Churches	FALSE	congregation	membership	assembly	evangelism
church/N/br-f44/1189	publicity in reaching new members . The proclamation of the churches is almost totally confined to pastoral contacts by the clergy ( 17.3 per cent of new members ) and friendly contacts by members ( over two thirds if organizational activities are included ) .	a2	congregation	A	simply_church	. The proclamation of the <span class='hit'>churches</span> is almost totally confined to	churches	FALSE	congregation	membership	administration	evangelism
church/N/br-f44/1262	"In general , friendly contact with a member followed by contact with a clergyman will account for a major share of recruitment by the churches , making it quite evident that the extension of economic integration through co-optation is the principal form of mission in the contemporary church ; economic integration and co-optation are the two methods by which Protestants associate with and recruit from the neighborhood ."	b	congregation	B	simply_church	share of recruitment by the <span class='hit'>churches</span> , making it quite evident	churches	FALSE	congregation	membership	administration	evangelism
church/N/br-f44/1285	"In general , friendly contact with a member followed by contact with a clergyman will account for a major share of recruitment by the churches , making it quite evident that the extension of economic integration through co-optation is the principal form of mission in the contemporary church ; economic integration and co-optation are the two methods by which Protestants associate with and recruit from the neighborhood ."	b	congregation	B	simply_church	"of mission in the contemporary <span class='hit'>church</span> ; economic integration and co-optation"	church	FALSE	congregation	membership	administration	evangelism
church/N/br-f44/1427	more than a single generation . The fact that metropolitan churches of the major denominations have moved approximately every generation for the last hundred years becomes somewhat more intelligible in the light of this struggle to maintain economic balance .	b	congregation	B	simply_church	. The fact that metropolitan <span class='hit'>churches</span> of the major denominations have	churches	FALSE	congregation	NR	administration	NR
church/N/br-f44/1616	the metropolis . It now becomes evident that the denominational church is intimately involved with the economy of middle-class culture , for it serves to crystallize the social class identity of middle-class residential groupings .	b	congregation	B	simply_church	becomes evident that the denominational NA is intimately involved with the	NA	FALSE	congregation	membership	administration	NR
church/N/br-f44/1681	environment . More than creatures of metropolitan forces , the churches have taken the lead in counteracting the interdependence of metropolitan life , crystallizing and perpetuating the stratification of peoples , giving form to the struggle for social homogeneity in a world of heterogeneous peoples .	b	congregation	B	simply_church	of metropolitan forces , the NA have taken the lead in	NA	FALSE	congregation	NR	administration	NR
church/N/br-f44/1915	This interpretation of the role of residence in the economy of middle-class culture could lead to various projections for the churches . It could be argued that any fellowship which centers	b	congregation	B	simply_church	to various projections for the NA . It could be argued	NA	FALSE	congregation	membership	administration	evangelism
church/N/br-f44/2012	"Attention will be given in the next chapter to the style of association in the denominational churches ; this style is characteristically an expression of the communal style of the middle classes ."	b	congregation	B	simply_church	"of association in the denominational NA ; this style is characteristically"	NA	FALSE	congregation	membership	administration	NR
church/N/br-f44/2178	An understanding of the new role of residential association in an industrial society serves to illuminate the forces which have fashioned the iron cage of conformity which imprisons the churches in their suburban captivity . The perplexing question still remains	b	congregation	B	simply_church	of conformity which imprisons the NA in their suburban captivity .	NA	FALSE	congregation	NR	administration	NR
church/N/br-f44/2198	The perplexing question still remains as to why the middle classes turn to the churches as a vehicle of social identity when their clubs and charities should fill the same need .	b	congregation	B	simply_church	middle classes turn to the NA as a vehicle of social	NA	FALSE	congregation	membership	assembly	NR
church/N/br-f44/343	"The congregation perishes when it is no longer possible to replenish that core from the neighborhood ; moreover , residential mobility is so high in metropolitan areas that churches have to recruit constantly in their core stratum in order to survive ; they can lose higher - and lower status members from the church without collapsing , but they need adequate recruits for the core stratum in order to preserve economic integration ."	b	congregation	B	simply_church	high in metropolitan areas that <span class='hit'>churches</span> have to recruit constantly in	churches	FALSE	congregation	membership	administration	evangelism
church/N/br-f44/368	"The congregation perishes when it is no longer possible to replenish that core from the neighborhood ; moreover , residential mobility is so high in metropolitan areas that churches have to recruit constantly in their core stratum in order to survive ; they can lose higher - and lower status members from the church without collapsing , but they need adequate recruits for the core stratum in order to preserve economic integration ."	b	congregation	B	simply_church	lower status members from the <span class='hit'>church</span> without collapsing , but they	church	FALSE	congregation	membership	administration	NR
church/N/br-f44/868	"Evangelism and congregational outreach have not been carefully studied in the churches ; one study in Pittsburgh , however , has illuminated the situation ."	b	congregation	B	simply_church	"been carefully studied in the <span class='hit'>churches</span> ; one study in Pittsburgh"	churches	FALSE	congregation	NR	administration	evangelism
church/N/br-f44/890	situation . In a sample of new members of Pittsburgh churches , almost 60 per cent were recruited by initial `` contacts with friendly members '' .	b	congregation	B	simply_church	of new members of Pittsburgh <span class='hit'>churches</span> , almost 60 per cent	churches	FALSE	congregation	membership	administration	evangelism
church/N/br-h17/1199	In a periodic review , the local board on July 30 , 1953 , reclassified him 1 , - A and upheld this classification after a personal appearance by petitioner , because of his willingness to kill in defense of his church and home . Upon administrative approval of the reclassification ,	b	congregation	B	simply_church	kill in defense of his <span class='hit'>church</span> and home . Upon administrative	church	FALSE	congregation	membership	NR	devotion
church/N/br-k04/1145	It was called Kent House . The deacon of the church , Carlson , was its janitor . One of the	c2	congregation	C	simply_church	. The deacon of the <span class='hit'>church</span> , Carlson , was its	church	FALSE	congregation	NR	hierarchy	NR
church/N/br-k04/1433	But there was one thing that he had to stress , and that was that the contribution to the general church expenses , the dollar money , had been seriously falling behind in this church , and that must be looked after immediately . In	b	congregation	B	simply_church	seriously falling behind in this <span class='hit'>church</span> , and that must be	church	FALSE	congregation	NR	administration	NR
church/N/br-k04/356	He was stern and overbearing with his flock , but obsequious and conciliatory with the whites , especially the rich who partly supported the church . The Deacon Board , headed by a black man	b	congregation	B	simply_church	rich who partly supported the <span class='hit'>church</span> . The Deacon Board ,	church	FALSE	congregation	NR	administration	NR
church/N/br-k04/397	of the Amen corner . The characteristic thing about this church was its Amen corner and the weekly religious orgy .	b	congregation	B	simply_church	The characteristic thing about this <span class='hit'>church</span> was its Amen corner and	church	FALSE	congregation	participation	NR	practice
church/N/br-k04/828	It was arranged that he would board in the home of one of the old members of the church , a woman named Catt who , as Wilson afterward found , was briefly referred to as The Cat because of her sharp tongue and fierce initiative .	b	congregation	B	simply_church	the old members of the <span class='hit'>church</span> , a woman named Catt	church	FALSE	congregation	membership	NR	devotion
church/N/br-k04/877	Ann Catt was a lonely , devoted soul , never married , conducting a spotless home and devoted to her church , but a perpetual dissenter and born critic . She	b	congregation	B	simply_church	home and devoted to her <span class='hit'>church</span> , but a perpetual dissenter	church	FALSE	congregation	participation	NR	devotion
church/N/br-l08/2109	To be Katharine Ross , and work in a nicer shop somewhere , at a little more money so she could have prettier clothes , and learn ladies ' manners and all like that , and get to know different people than up to now , not just the ones like her here , with foreign sounding names , the ones went to the same church and - Different place , different job , different people , she 'd be all different too .	c2	congregation	C	simply_church	ones went to the same <span class='hit'>church</span> and - Different place ,	church	FALSE	congregation	participation	NR	practice
church/N/br-p06/425	do '' ? she said , semi-professionally . `` Our church is sponsoring a group of very courageous women up in Alaska .	b	congregation	B	simply_church	, semi-professionally . `` Our <span class='hit'>church</span> is sponsoring a group of	church	FALSE	congregation	participation	assembly	evangelism
