_model	model.x	model.y	minimum_contextwords	foc_part_of_speech	foc_sent_bound	soc_corpus	soc_length	soc_length_num	soc_window	foc_token_window	tokens	type	foc_weighting	stress
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.5000.2	-0.04214609149083652	-0.023535610100327113	2	nvjid	False	COHA	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.21528556697571968
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.10000.2	-0.04606280247636971	-0.0020437883673466097	2	nvjid	False	COHA	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.22468633973386762
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.focc.2	-0.07093014693297191	-0.10768384688019314	2	nvjid	False	COHA	focc	24583	5_5	10_10	249	church_nocomp	noweight	0.23675015259390614
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.5000.2	-0.019115345601349462	-0.04924510076879095	2	nvjid	False	COHA	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.20073869308871534
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.10000.2	2.299256861371562e-4	-0.03915783205125032	2	nvjid	False	COHA	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2095842563934838
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.focc.2	-0.029264025193712705	-0.07900133365359481	2	nvjid	False	COHA	focc	24583	10_10	10_10	249	church_nocomp	noweight	0.22799750875145075
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.5000.3	-0.05602173471547391	-0.04130007463813108	3	nvjid	False	COHA	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.21596864565316365
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.10000.3	-0.0660589844919014	-0.014443160945804546	3	nvjid	False	COHA	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.22582357643023385
church_nocomp.10_10.nvjid.noweight.nobound.COHA.5_5.focc.3	-0.06964945571145219	-0.0706734303043001	3	nvjid	False	COHA	focc	24583	5_5	10_10	249	church_nocomp	noweight	0.2368409386587942
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.5000.3	-0.018674125351984885	-0.05251793819254605	3	nvjid	False	COHA	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.19978503109238688
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.10000.3	-0.011678337440480632	-0.08261441990213363	3	nvjid	False	COHA	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2081987192910664
church_nocomp.10_10.nvjid.noweight.nobound.COHA.10_10.focc.3	-0.024783831657450742	-0.13924710478998434	3	nvjid	False	COHA	focc	24583	10_10	10_10	249	church_nocomp	noweight	0.22853439632132502
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.5000.2	0.19289527867528555	-0.15734294619936195	2	none	False	COHA	5000	5000	5_5	10_10	248	church_nocomp	ppmi	0.23766561742416892
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.10000.2	0.20893461946652017	-0.16437282244869242	2	none	False	COHA	10000	10000	5_5	10_10	248	church_nocomp	ppmi	0.23936084652281994
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.focc.2	0.199113216754968	-0.17504128882713046	2	none	False	COHA	focc	4699	5_5	10_10	248	church_nocomp	ppmi	0.24237266849863515
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.5000.2	0.21806391215863075	-0.1886535734511587	2	none	False	COHA	5000	5000	10_10	10_10	248	church_nocomp	ppmi	0.223820762433317
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.10000.2	0.24496195350013067	-0.18322763209921708	2	none	False	COHA	10000	10000	10_10	10_10	248	church_nocomp	ppmi	0.2296404985511063
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.focc.2	0.22231616648231828	-0.1872120284475634	2	none	False	COHA	focc	4699	10_10	10_10	248	church_nocomp	ppmi	0.23759726260225164
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.5000.3	0.23446466032945887	-0.15136053248738027	3	none	False	COHA	5000	5000	5_5	10_10	247	church_nocomp	ppmi	0.2375564842415113
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.10000.3	0.22796554802169336	-0.16284207509079596	3	none	False	COHA	10000	10000	5_5	10_10	247	church_nocomp	ppmi	0.2395357988133517
church_nocomp.10_10.none.ppmi.nobound.COHA.5_5.focc.3	0.1848227273352087	-0.16696567462260575	3	none	False	COHA	focc	4699	5_5	10_10	247	church_nocomp	ppmi	0.2422518915602492
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.5000.3	0.2348002694834321	-0.1765317303363451	3	none	False	COHA	5000	5000	10_10	10_10	247	church_nocomp	ppmi	0.22477227775439465
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.10000.3	0.23755852994650098	-0.17815547807378784	3	none	False	COHA	10000	10000	10_10	10_10	247	church_nocomp	ppmi	0.2292705383701906
church_nocomp.10_10.none.ppmi.nobound.COHA.10_10.focc.3	0.198778727807355	-0.20764490227173246	3	none	False	COHA	focc	4699	10_10	10_10	247	church_nocomp	ppmi	0.23655295162629253
church_nocomp.10_10.none.noweight.nobound.COHA.5_5.5000.2	-0.08964973840922077	0.011012701232440083	2	none	False	COHA	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2019782603719413
church_nocomp.10_10.none.noweight.nobound.COHA.5_5.10000.2	-0.09818717520284054	0.014470753819576996	2	none	False	COHA	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.21446255283731258
church_nocomp.10_10.none.noweight.nobound.COHA.5_5.focc.2	-0.1598321702206072	0.038982017809730436	2	none	False	COHA	focc	27085	5_5	10_10	249	church_nocomp	noweight	0.23301357195015843
church_nocomp.10_10.none.noweight.nobound.COHA.10_10.5000.2	-0.07297465706920732	-0.0015251817087840493	2	none	False	COHA	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.18905258042328857
church_nocomp.10_10.none.noweight.nobound.COHA.10_10.10000.2	-0.0781332199152064	-0.0027118814146925535	2	none	False	COHA	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.20236696949452682
church_nocomp.10_10.none.noweight.nobound.COHA.10_10.focc.2	-0.11333026117905357	0.017941303637100118	2	none	False	COHA	focc	27085	10_10	10_10	249	church_nocomp	noweight	0.22154484024570809
church_nocomp.10_10.none.noweight.nobound.COHA.5_5.5000.3	-0.0881316665742127	0.011090180685051177	3	none	False	COHA	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.20243126372799497
church_nocomp.10_10.none.noweight.nobound.COHA.5_5.10000.3	-0.0984744029775545	0.01707692078838042	3	none	False	COHA	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.21445448943909773
church_nocomp.10_10.none.noweight.nobound.COHA.5_5.focc.3	-0.1598321702206072	0.038982017809730436	3	none	False	COHA	focc	27085	5_5	10_10	249	church_nocomp	noweight	0.23301357195015843
church_nocomp.10_10.none.noweight.nobound.COHA.10_10.5000.3	-0.0725240024939864	3.6515710022634763e-4	3	none	False	COHA	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.18915493877453127
church_nocomp.10_10.none.noweight.nobound.COHA.10_10.10000.3	-0.0781332199152064	-0.0027118814146925535	3	none	False	COHA	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.20236696949452682
church_nocomp.10_10.none.noweight.nobound.COHA.10_10.focc.3	-0.11333026117905357	0.017941303637100118	3	none	False	COHA	focc	27085	10_10	10_10	249	church_nocomp	noweight	0.22154484024570809
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.5_5.5000.2	0.2515282976673348	0.05066307402888172	2	nvj	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	ppmi	0.2799726213610626
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.5_5.10000.2	0.2830147607331026	0.04588687033234668	2	nvj	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	ppmi	0.28293640788315894
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.5_5.focc.2	0.29577387382995696	0.1856808235611207	2	nvj	False	Semcor	focc	1296	5_5	10_10	249	church_nocomp	ppmi	0.2831970330615388
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.10_10.5000.2	0.19526116741170202	0.0716240262590989	2	nvj	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	ppmi	0.2683098125359236
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.10_10.10000.2	0.22763908248908418	0.022678257509876478	2	nvj	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	ppmi	0.2705258338690711
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.10_10.focc.2	0.2196895364536659	0.0780587676462223	2	nvj	False	Semcor	focc	1296	10_10	10_10	249	church_nocomp	ppmi	0.27799482269753506
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.5_5.5000.3	0.32904871881618997	0.07868269950815937	3	nvj	False	Semcor	5000	5000	5_5	10_10	247	church_nocomp	ppmi	0.2851775128919368
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.5_5.10000.3	0.31192057671778717	0.05897563939075109	3	nvj	False	Semcor	10000	10000	5_5	10_10	247	church_nocomp	ppmi	0.2887364544758988
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.5_5.focc.3	0.31535252640535094	0.15010462308546105	3	nvj	False	Semcor	focc	1296	5_5	10_10	247	church_nocomp	ppmi	0.2867470235762673
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.10_10.5000.3	0.22720666689034164	0.056740944415029554	3	nvj	False	Semcor	5000	5000	10_10	10_10	247	church_nocomp	ppmi	0.27119523481617974
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.10_10.10000.3	0.2342737698339974	0.018976110759051083	3	nvj	False	Semcor	10000	10000	10_10	10_10	247	church_nocomp	ppmi	0.27515534517003754
church_nocomp.10_10.nvj.ppmi.nobound.Semcor.10_10.focc.3	0.19623687624695818	0.0780785731148773	3	nvj	False	Semcor	focc	1296	10_10	10_10	247	church_nocomp	ppmi	0.27847331459879093
church_nocomp.10_10.nvj.noweight.nobound.Semcor.5_5.5000.2	-0.03398425322048165	0.1350747603637823	2	nvj	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2596210828482612
church_nocomp.10_10.nvj.noweight.nobound.Semcor.5_5.10000.2	-0.04709490147355596	0.17598457984963642	2	nvj	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.26084133578716606
church_nocomp.10_10.nvj.noweight.nobound.Semcor.5_5.focc.2	-0.3517764181268944	0.3723224304160683	2	nvj	False	Semcor	focc	31447	5_5	10_10	249	church_nocomp	noweight	0.246390076907736
church_nocomp.10_10.nvj.noweight.nobound.Semcor.10_10.5000.2	0.012938853951951412	0.10042679710055813	2	nvj	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.2465726862948394
church_nocomp.10_10.nvj.noweight.nobound.Semcor.10_10.10000.2	-0.021041088780669907	0.16398444940511314	2	nvj	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.25460539026142
church_nocomp.10_10.nvj.noweight.nobound.Semcor.10_10.focc.2	-0.17396921713544591	0.28622908725983004	2	nvj	False	Semcor	focc	31447	10_10	10_10	249	church_nocomp	noweight	0.25446502450647085
church_nocomp.10_10.nvj.noweight.nobound.Semcor.5_5.5000.3	-0.025862161723479243	0.12763404439416345	3	nvj	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2588446346380541
church_nocomp.10_10.nvj.noweight.nobound.Semcor.5_5.10000.3	-0.05698001251970447	0.1831836737891597	3	nvj	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.2605326625374191
church_nocomp.10_10.nvj.noweight.nobound.Semcor.5_5.focc.3	-0.2696702890352774	0.3623119491612405	3	nvj	False	Semcor	focc	31447	5_5	10_10	249	church_nocomp	noweight	0.245256756742589
church_nocomp.10_10.nvj.noweight.nobound.Semcor.10_10.5000.3	0.0018152634872346755	0.11558920777115249	3	nvj	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.24681959829353403
church_nocomp.10_10.nvj.noweight.nobound.Semcor.10_10.10000.3	-0.017025506529360964	0.1359367398225973	3	nvj	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.253194735157442
church_nocomp.10_10.nvj.noweight.nobound.Semcor.10_10.focc.3	-0.18684347799710788	0.28939136613184724	3	nvj	False	Semcor	focc	31447	10_10	10_10	249	church_nocomp	noweight	0.2561919172732436
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.5_5.5000.2	0.2543013531616159	0.06525723664125907	2	nvjid	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	ppmi	0.23626032199440108
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.5_5.10000.2	0.27797764141511777	0.018612477923295827	2	nvjid	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	ppmi	0.18922970786160576
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.5_5.focc.2	0.26856348738380176	0.15563117702268603	2	nvjid	False	Semcor	focc	1337	5_5	10_10	249	church_nocomp	ppmi	0.2805905930099699
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.10_10.5000.2	0.2022953779247857	0.02692614965192725	2	nvjid	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	ppmi	0.2688689285337326
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.10_10.10000.2	0.18259401702510514	-0.01301713601363309	2	nvjid	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	ppmi	0.27210224611078154
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.10_10.focc.2	0.2146152172331925	-0.0116502478035267	2	nvjid	False	Semcor	focc	1337	10_10	10_10	249	church_nocomp	ppmi	0.27521037769929046
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.5_5.5000.3	0.2351312582417243	0.03952970978996746	3	nvjid	False	Semcor	5000	5000	5_5	10_10	248	church_nocomp	ppmi	0.28428000586619395
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.5_5.10000.3	0.2297128011538361	0.03786895252195323	3	nvjid	False	Semcor	10000	10000	5_5	10_10	248	church_nocomp	ppmi	0.28628204525292367
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.5_5.focc.3	0.3012408993480797	0.09961462130106587	3	nvjid	False	Semcor	focc	1337	5_5	10_10	248	church_nocomp	ppmi	0.286737041641579
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.10_10.5000.3	0.19970638360984422	0.03447841514941016	3	nvjid	False	Semcor	5000	5000	10_10	10_10	248	church_nocomp	ppmi	0.27133145578148454
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.10_10.10000.3	0.18248580977150974	-0.01463939450895138	3	nvjid	False	Semcor	10000	10000	10_10	10_10	248	church_nocomp	ppmi	0.2754903608708699
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.10_10.focc.3	0.2133525523155722	-0.013094573376496322	3	nvjid	False	Semcor	focc	1337	10_10	10_10	248	church_nocomp	ppmi	0.2763904414669281
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.5_5.5000.2	-0.11048578337930838	0.09039758139817394	2	nvjid	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2527156542692363
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.5_5.10000.2	-0.19448094082775422	0.12193434741750293	2	nvjid	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.2608575413892324
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.5_5.focc.2	-0.39160990243464133	0.22762416888379497	2	nvjid	False	Semcor	focc	31607	5_5	10_10	249	church_nocomp	noweight	0.2484377163234263
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.10_10.5000.2	-0.036860602573359005	0.051055468842456916	2	nvjid	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.24286350456304157
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.10_10.10000.2	-0.10034953927535153	0.09655985299401111	2	nvjid	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.25707264842280464
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.10_10.focc.2	-0.3227989428786761	0.1275740515072698	2	nvjid	False	Semcor	focc	31607	10_10	10_10	249	church_nocomp	noweight	0.26257150277997593
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.5_5.5000.3	-0.11048578337930838	0.09039758139817394	3	nvjid	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2527156542692363
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.5_5.10000.3	-0.19232311544834751	0.11443471928968454	3	nvjid	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.26167548497958687
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.5_5.focc.3	-0.39160990243464133	0.22762416888379497	3	nvjid	False	Semcor	focc	31607	5_5	10_10	249	church_nocomp	noweight	0.2484377163234263
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.10_10.5000.3	-0.036860602573359005	0.051055468842456916	3	nvjid	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.24286350456304157
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.10_10.10000.3	-0.07076329562549741	0.06674320586620199	3	nvjid	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2581113762074378
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.10_10.focc.3	-0.26551467061635203	0.12569029490674008	3	nvjid	False	Semcor	focc	31607	10_10	10_10	249	church_nocomp	noweight	0.2605342539433617
church_nocomp.10_10.none.ppmi.nobound.Semcor.5_5.5000.2	0.16558915261046314	0.06744423081267695	2	none	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	ppmi	0.28247872914754935
church_nocomp.10_10.none.ppmi.nobound.Semcor.5_5.10000.2	0.17892453634174413	0.056764635338605963	2	none	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	ppmi	0.2839273424276602
church_nocomp.10_10.none.ppmi.nobound.Semcor.5_5.focc.2	0.30233367712267034	0.11360760624179825	2	none	False	Semcor	focc	1510	5_5	10_10	249	church_nocomp	ppmi	0.2849925231393643
church_nocomp.10_10.none.ppmi.nobound.Semcor.10_10.5000.2	0.13683795423269446	-0.019700432367942337	2	none	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	ppmi	0.2720546829567306
church_nocomp.10_10.none.ppmi.nobound.Semcor.10_10.10000.2	0.1597794558656639	-0.018833392000200837	2	none	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	ppmi	0.27516956994784547
church_nocomp.10_10.none.ppmi.nobound.Semcor.10_10.focc.2	0.1955337049295759	0.00939406447727877	2	none	False	Semcor	focc	1510	10_10	10_10	249	church_nocomp	ppmi	0.27718003395514873
church_nocomp.10_10.none.ppmi.nobound.Semcor.5_5.5000.3	0.1668398344935788	0.0806082599023571	3	none	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	ppmi	0.28239019540328036
church_nocomp.10_10.none.ppmi.nobound.Semcor.5_5.10000.3	0.17892453634174413	0.056764635338605963	3	none	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	ppmi	0.2839273424276602
church_nocomp.10_10.none.ppmi.nobound.Semcor.5_5.focc.3	0.2342630876645381	0.09174647192008478	3	none	False	Semcor	focc	1510	5_5	10_10	249	church_nocomp	ppmi	0.28523082327643845
church_nocomp.10_10.none.ppmi.nobound.Semcor.10_10.5000.3	0.13683795423269446	-0.019700432367942337	3	none	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	ppmi	0.2720546829567306
church_nocomp.10_10.none.ppmi.nobound.Semcor.10_10.10000.3	0.12836265725171703	0.03688242007412542	3	none	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	ppmi	0.2745172218991353
church_nocomp.10_10.none.ppmi.nobound.Semcor.10_10.focc.3	0.18467945878174052	-0.025122830524480666	3	none	False	Semcor	focc	1510	10_10	10_10	249	church_nocomp	ppmi	0.2771933132661091
church_nocomp.10_10.none.noweight.nobound.Semcor.5_5.5000.2	-0.15493331528941606	0.10185725697321195	2	none	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.23655141591631274
church_nocomp.10_10.none.noweight.nobound.Semcor.5_5.10000.2	-0.19491103986722277	0.13266041294349692	2	none	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.25275400745753246
church_nocomp.10_10.none.noweight.nobound.Semcor.5_5.focc.2	-0.5127336129042669	0.20477322215757837	2	none	False	Semcor	focc	34786	5_5	10_10	249	church_nocomp	noweight	0.2753912698057583
church_nocomp.10_10.none.noweight.nobound.Semcor.10_10.5000.2	-0.10004154011137174	0.0721437855757357	2	none	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.2282223718196598
church_nocomp.10_10.none.noweight.nobound.Semcor.10_10.10000.2	-0.1262807918062651	0.08800543475126991	2	none	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2397261796633015
church_nocomp.10_10.none.noweight.nobound.Semcor.10_10.focc.2	-0.2484332006707559	0.1475974517210699	2	none	False	Semcor	focc	34786	10_10	10_10	249	church_nocomp	noweight	0.27417781567298066
church_nocomp.10_10.none.noweight.nobound.Semcor.5_5.5000.3	-0.15493331528941606	0.10185725697321195	3	none	False	Semcor	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.23655141591631274
church_nocomp.10_10.none.noweight.nobound.Semcor.5_5.10000.3	-0.19491103986722277	0.13266041294349692	3	none	False	Semcor	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.25275400745753246
church_nocomp.10_10.none.noweight.nobound.Semcor.5_5.focc.3	-0.5127336129042669	0.20477322215757837	3	none	False	Semcor	focc	34786	5_5	10_10	249	church_nocomp	noweight	0.2753912698057583
church_nocomp.10_10.none.noweight.nobound.Semcor.10_10.5000.3	-0.10004154011137174	0.0721437855757357	3	none	False	Semcor	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.2282223718196598
church_nocomp.10_10.none.noweight.nobound.Semcor.10_10.10000.3	-0.1262807918062651	0.08800543475126991	3	none	False	Semcor	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2397261796633015
church_nocomp.10_10.none.noweight.nobound.Semcor.10_10.focc.3	-0.2484332006707559	0.1475974517210699	3	none	False	Semcor	focc	34786	10_10	10_10	249	church_nocomp	noweight	0.27417781567298066
