_model	model.x	model.y	foc_length	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_window	tokens	type	stress
church.foc10.nav.weight.nobound.soc4.5000	-0.1932004524795864	-0.11360551602126209	726	nav	nobound	weight	10_10	5000	5e3	4_4	297	church	0.212126337100465
church.foc10.nav.weight.nobound.soc4.10000	-0.4120354337438091	-0.05869803593344402	726	nav	nobound	weight	10_10	10000	1e4	4_4	297	church	0.20736880905931548
church.foc10.nav.weight.nobound.soc4.foc	-0.23416143116528723	-0.14015535671497567	726	nav	nobound	weight	10_10	foc	726	4_4	297	church	0.20936519295434258
church.foc10.nav.selection.nobound.soc4.5000	-0.28864616908034924	-0.20427171047529757	726	nav	nobound	selection	10_10	5000	5e3	4_4	297	church	0.20732527771985867
church.foc10.nav.selection.nobound.soc4.10000	-0.364929088047763	-0.3052787582688746	726	nav	nobound	selection	10_10	10000	1e4	4_4	297	church	0.19610429233639373
church.foc10.nav.selection.nobound.soc4.foc	-0.20545848336265995	-0.14685560594308314	726	nav	nobound	selection	10_10	foc	726	4_4	297	church	0.19675952327981452
church.foc10.nav.noweight.nobound.soc4.5000	0.14995273539209733	-0.1399780530987487	1450	nav	nobound	noweight	10_10	5000	5e3	4_4	300	church	0.24598845433446162
church.foc10.nav.noweight.nobound.soc4.10000	0.17262722621137735	-0.13605960277545648	1450	nav	nobound	noweight	10_10	10000	1e4	4_4	300	church	0.24055991973309507
church.foc10.nav.noweight.nobound.soc4.foc	0.0859569263681103	-0.13489520491277038	1450	nav	nobound	noweight	10_10	foc	1450	4_4	300	church	0.22021050139886766
church.foc10.all.weight.nobound.soc4.5000	-0.0528896242473831	-0.15178729875123398	808	all	nobound	weight	10_10	5000	5e3	4_4	300	church	0.2181671413286283
church.foc10.all.weight.nobound.soc4.10000	-0.05659677858332948	-0.18572479010952891	808	all	nobound	weight	10_10	10000	1e4	4_4	300	church	0.21822029197404216
church.foc10.all.weight.nobound.soc4.foc	-0.12762224740251782	-0.2693348823083983	808	all	nobound	weight	10_10	foc	808	4_4	300	church	0.22015525522170318
church.foc10.all.selection.nobound.soc4.5000	-0.012816477951376458	-0.18517146045463953	808	all	nobound	selection	10_10	5000	5e3	4_4	300	church	0.2250202775720203
church.foc10.all.selection.nobound.soc4.10000	-0.01677590884072648	-0.19378144868097005	808	all	nobound	selection	10_10	10000	1e4	4_4	300	church	0.22495155191636376
church.foc10.all.selection.nobound.soc4.foc	-0.02170011483271923	-0.30548043669036545	808	all	nobound	selection	10_10	foc	808	4_4	300	church	0.21597912717446077
church.foc10.all.noweight.nobound.soc4.5000	0.4062504220179183	-0.11041042000625731	1700	all	nobound	noweight	10_10	5000	5e3	4_4	300	church	0.23701240953295372
church.foc10.all.noweight.nobound.soc4.10000	0.38435386360107127	-0.11142605084766545	1700	all	nobound	noweight	10_10	10000	1e4	4_4	300	church	0.23878325034138204
church.foc10.all.noweight.nobound.soc4.foc	0.3736191504663479	-0.2450474208768716	1700	all	nobound	noweight	10_10	foc	1700	4_4	300	church	0.23578039019595654
church.foc5.nav.weight.nobound.soc4.5000	-0.17845774349708218	0.2009877978001881	466	nav	nobound	weight	5_5	5000	5e3	4_4	284	church	0.2365519297270052
church.foc5.nav.weight.nobound.soc4.10000	-0.14169566872810752	0.26095346262122904	466	nav	nobound	weight	5_5	10000	1e4	4_4	284	church	0.22779947110566662
church.foc5.nav.weight.nobound.soc4.foc	-0.19447097966006352	0.15201900762757428	466	nav	nobound	weight	5_5	foc	466	4_4	284	church	0.23745412863783227
church.foc5.nav.selection.nobound.soc4.5000	-0.1654896241357401	0.2248471000568408	466	nav	nobound	selection	5_5	5000	5e3	4_4	284	church	0.23713058589788424
church.foc5.nav.selection.nobound.soc4.10000	-0.18469443533605845	0.29498459160858304	466	nav	nobound	selection	5_5	10000	1e4	4_4	284	church	0.22943492181858308
church.foc5.nav.selection.nobound.soc4.foc	-0.27673130729035866	0.1489803851431623	466	nav	nobound	selection	5_5	foc	466	4_4	284	church	0.2352394895792383
church.foc5.nav.noweight.nobound.soc4.5000	0.3043585368116678	0.08286491848280601	799	nav	nobound	noweight	5_5	5000	5e3	4_4	300	church	0.25358178262725156
church.foc5.nav.noweight.nobound.soc4.10000	0.2878034424589009	0.08171058330567024	799	nav	nobound	noweight	5_5	10000	1e4	4_4	300	church	0.24955509266732775
church.foc5.nav.noweight.nobound.soc4.foc	0.21318965610186133	0.07731124628585186	799	nav	nobound	noweight	5_5	foc	799	4_4	300	church	0.24022938376970093
church.foc5.all.weight.nobound.soc4.5000	-0.005628776790739663	0.12602758232062689	524	all	nobound	weight	5_5	5000	5e3	4_4	296	church	0.2324077330233979
church.foc5.all.weight.nobound.soc4.10000	0.010757248128926014	0.15016664281570044	524	all	nobound	weight	5_5	10000	1e4	4_4	296	church	0.23145565400012708
church.foc5.all.weight.nobound.soc4.foc	-0.02735050225628935	0.24501477303413888	524	all	nobound	weight	5_5	foc	524	4_4	296	church	0.2387187049476251
church.foc5.all.selection.nobound.soc4.5000	-0.022231949143463593	0.26272520671137456	524	all	nobound	selection	5_5	5000	5e3	4_4	296	church	0.2345036430785983
church.foc5.all.selection.nobound.soc4.10000	-0.018812624424563554	0.3091320442076358	524	all	nobound	selection	5_5	10000	1e4	4_4	296	church	0.23351576872549695
church.foc5.all.selection.nobound.soc4.foc	0.026380242971513996	0.2068504832273901	524	all	nobound	selection	5_5	foc	524	4_4	296	church	0.22938179656191457
church.foc5.all.noweight.nobound.soc4.5000	0.4210995607968609	0.06060500996297708	970	all	nobound	noweight	5_5	5000	5e3	4_4	300	church	0.24240337462434566
church.foc5.all.noweight.nobound.soc4.10000	0.382418603556391	0.07508930879947508	970	all	nobound	noweight	5_5	10000	1e4	4_4	300	church	0.24328259012188413
church.foc5.all.noweight.nobound.soc4.foc	0.4235305023754175	0.17503832852137968	970	all	nobound	noweight	5_5	foc	970	4_4	300	church	0.23526032435478716
church.foc10.nav.weight.bound.soc4.5000	-0.2217337082680799	-0.10923449943952367	685	nav	bound	weight	10_10	5000	5e3	4_4	294	church	0.216321445533435
church.foc10.nav.weight.bound.soc4.10000	-0.35979296959481005	-0.03431680563485828	685	nav	bound	weight	10_10	10000	1e4	4_4	294	church	0.2095480683270961
church.foc10.nav.weight.bound.soc4.foc	-0.2382852988891319	-0.0963256233689664	685	nav	bound	weight	10_10	foc	685	4_4	294	church	0.21615476376908996
church.foc10.nav.selection.bound.soc4.5000	-0.27906790274836296	-0.14987479342795662	685	nav	bound	selection	10_10	5000	5e3	4_4	294	church	0.21028645010475527
church.foc10.nav.selection.bound.soc4.10000	-0.30072936360022695	-0.22482261188312186	685	nav	bound	selection	10_10	10000	1e4	4_4	294	church	0.2012727922770543
church.foc10.nav.selection.bound.soc4.foc	-0.2092690058746881	-0.10073221682988585	685	nav	bound	selection	10_10	foc	685	4_4	294	church	0.20390607702977306
church.foc10.nav.noweight.bound.soc4.5000	0.12270504403045897	-0.12493611288009392	1349	nav	bound	noweight	10_10	5000	5e3	4_4	300	church	0.24177639465481332
church.foc10.nav.noweight.bound.soc4.10000	0.1126612893476201	-0.13843288360472852	1349	nav	bound	noweight	10_10	10000	1e4	4_4	300	church	0.23823280947436393
church.foc10.nav.noweight.bound.soc4.foc	0.08941879475232625	-0.10574784794889841	1349	nav	bound	noweight	10_10	foc	1349	4_4	300	church	0.22075319376271613
church.foc10.all.weight.bound.soc4.5000	-0.059624262173577344	-0.12739733200497527	764	all	bound	weight	10_10	5000	5e3	4_4	300	church	0.21655046520694254
church.foc10.all.weight.bound.soc4.10000	-0.07147850621697842	-0.1591597193148251	764	all	bound	weight	10_10	10000	1e4	4_4	300	church	0.21660668767019242
church.foc10.all.weight.bound.soc4.foc	-0.1458992148387397	-0.22394830139099736	764	all	bound	weight	10_10	foc	764	4_4	300	church	0.22049538091093307
church.foc10.all.selection.bound.soc4.5000	-0.033208613992524984	-0.12365699382832418	764	all	bound	selection	10_10	5000	5e3	4_4	300	church	0.21702680364107918
church.foc10.all.selection.bound.soc4.10000	-0.03291005524259852	-0.220464350070654	764	all	bound	selection	10_10	10000	1e4	4_4	300	church	0.21763453016525455
church.foc10.all.selection.bound.soc4.foc	-0.009099482570039792	-0.2648017283241346	764	all	bound	selection	10_10	foc	764	4_4	300	church	0.21326287701020383
church.foc10.all.noweight.bound.soc4.5000	0.38901951582982125	-0.1301297675330219	1587	all	bound	noweight	10_10	5000	5e3	4_4	300	church	0.23029893855259911
church.foc10.all.noweight.bound.soc4.10000	0.3651536164085221	-0.13979928717742518	1587	all	bound	noweight	10_10	10000	1e4	4_4	300	church	0.23055183944101873
church.foc10.all.noweight.bound.soc4.foc	0.3456207774659087	-0.2525961946341593	1587	all	bound	noweight	10_10	foc	1587	4_4	300	church	0.23057589643751497
church.foc5.nav.weight.bound.soc4.5000	-0.13071414905853762	0.21122839969282675	454	nav	bound	weight	5_5	5000	5e3	4_4	281	church	0.23731642719657434
church.foc5.nav.weight.bound.soc4.10000	-0.1316247759964315	0.2590556460486851	454	nav	bound	weight	5_5	10000	1e4	4_4	281	church	0.2283340539828897
church.foc5.nav.weight.bound.soc4.foc	-0.19114711661707867	0.12751127704848586	454	nav	bound	weight	5_5	foc	454	4_4	281	church	0.24072808819508568
church.foc5.nav.selection.bound.soc4.5000	-0.18241887535881196	0.23113408807793187	454	nav	bound	selection	5_5	5000	5e3	4_4	281	church	0.24001754598731184
church.foc5.nav.selection.bound.soc4.10000	-0.20244951180355092	0.29148804586426585	454	nav	bound	selection	5_5	10000	1e4	4_4	281	church	0.23196132084388535
church.foc5.nav.selection.bound.soc4.foc	-0.27803721152914723	0.22482975762267834	454	nav	bound	selection	5_5	foc	454	4_4	281	church	0.23801647235156667
church.foc5.nav.noweight.bound.soc4.5000	0.35417070880882634	0.07619340752417086	772	nav	bound	noweight	5_5	5000	5e3	4_4	299	church	0.25312204672337235
church.foc5.nav.noweight.bound.soc4.10000	0.3313988704551175	0.07713279301517423	772	nav	bound	noweight	5_5	10000	1e4	4_4	299	church	0.25042148476078846
church.foc5.nav.noweight.bound.soc4.foc	0.21020444700090585	0.0763465104356589	772	nav	bound	noweight	5_5	foc	772	4_4	299	church	0.24092494038631082
church.foc5.all.weight.bound.soc4.5000	-0.016207322056910892	0.12774702777474314	511	all	bound	weight	5_5	5000	5e3	4_4	296	church	0.23324131432315415
church.foc5.all.weight.bound.soc4.10000	0.013917986738823778	0.15631455364147623	511	all	bound	weight	5_5	10000	1e4	4_4	296	church	0.23199570014583362
church.foc5.all.weight.bound.soc4.foc	-0.007723129383385744	0.2385245188127408	511	all	bound	weight	5_5	foc	511	4_4	296	church	0.23927231504669358
church.foc5.all.selection.bound.soc4.5000	-0.028451210721042064	0.2819334495634858	511	all	bound	selection	5_5	5000	5e3	4_4	296	church	0.23247933765334106
church.foc5.all.selection.bound.soc4.10000	-0.02758834193892589	0.32028326632036336	511	all	bound	selection	5_5	10000	1e4	4_4	296	church	0.23191448305257126
church.foc5.all.selection.bound.soc4.foc	0.016485036007694222	0.2795366153111158	511	all	bound	selection	5_5	foc	511	4_4	296	church	0.23071811050043065
church.foc5.all.noweight.bound.soc4.5000	0.4611445693422147	0.04039073141522128	940	all	bound	noweight	5_5	5000	5e3	4_4	300	church	0.2436150560695972
church.foc5.all.noweight.bound.soc4.10000	0.42618432330042616	0.05255747474631144	940	all	bound	noweight	5_5	10000	1e4	4_4	300	church	0.24548034919498474
church.foc5.all.noweight.bound.soc4.foc	0.43563758126729857	0.1649610932248148	940	all	bound	noweight	5_5	foc	940	4_4	300	church	0.23683120580555836
church.foc10.nav.weight.nobound.soc10.5000	-0.22285222507047764	-0.1246283303724458	726	nav	nobound	weight	10_10	5000	5e3	10_10	297	church	0.20482441800615975
church.foc10.nav.weight.nobound.soc10.10000	-0.23855407013972477	-0.161612954973642	726	nav	nobound	weight	10_10	10000	1e4	10_10	297	church	0.20515158265035413
church.foc10.nav.weight.nobound.soc10.foc	-0.2602180032978823	-0.15170946187870135	726	nav	nobound	weight	10_10	foc	726	10_10	297	church	0.19421163755936818
church.foc10.nav.selection.nobound.soc10.5000	-0.216855512695574	-0.15900764340228235	726	nav	nobound	selection	10_10	5000	5e3	10_10	297	church	0.2028733822738942
church.foc10.nav.selection.nobound.soc10.10000	-0.2824161430258394	-0.23574973204086566	726	nav	nobound	selection	10_10	10000	1e4	10_10	297	church	0.2011235358002897
church.foc10.nav.selection.nobound.soc10.foc	-0.21465737793765305	-0.14201677810349858	726	nav	nobound	selection	10_10	foc	726	10_10	297	church	0.18518799982549589
church.foc10.nav.noweight.nobound.soc10.5000	0.13882579930290262	-0.14425278955705234	1450	nav	nobound	noweight	10_10	5000	5e3	10_10	300	church	0.23564073077227823
church.foc10.nav.noweight.nobound.soc10.10000	0.15376083243014987	-0.16622180997289995	1450	nav	nobound	noweight	10_10	10000	1e4	10_10	300	church	0.22946988618091776
church.foc10.nav.noweight.nobound.soc10.foc	0.07592864151026345	-0.13350422127125747	1450	nav	nobound	noweight	10_10	foc	1450	10_10	300	church	0.20885227470406334
church.foc10.all.weight.nobound.soc10.5000	-0.10897350239313651	-0.14355631747909964	808	all	nobound	weight	10_10	5000	5e3	10_10	300	church	0.20834653185426696
church.foc10.all.weight.nobound.soc10.10000	-0.0897225245840182	-0.18349160382406718	808	all	nobound	weight	10_10	10000	1e4	10_10	300	church	0.20821355202035643
church.foc10.all.weight.nobound.soc10.foc	-0.12206648478330072	-0.20510959797584247	808	all	nobound	weight	10_10	foc	808	10_10	300	church	0.20742020213532691
church.foc10.all.selection.nobound.soc10.5000	-0.0736710491356331	-0.12020716091720313	808	all	nobound	selection	10_10	5000	5e3	10_10	300	church	0.2127631952064357
church.foc10.all.selection.nobound.soc10.10000	-0.05196366213558533	-0.10547951983665711	808	all	nobound	selection	10_10	10000	1e4	10_10	300	church	0.21390422952797264
church.foc10.all.selection.nobound.soc10.foc	-0.05463372650838431	-0.21431844168220854	808	all	nobound	selection	10_10	foc	808	10_10	300	church	0.20481673267417289
church.foc10.all.noweight.nobound.soc10.5000	0.39172518802341744	-0.11389661330165816	1700	all	nobound	noweight	10_10	5000	5e3	10_10	300	church	0.23344033890293936
church.foc10.all.noweight.nobound.soc10.10000	0.3591747284193047	-0.1199041709731706	1700	all	nobound	noweight	10_10	10000	1e4	10_10	300	church	0.23299905576411056
church.foc10.all.noweight.nobound.soc10.foc	0.32924847395942003	-0.20379829806208652	1700	all	nobound	noweight	10_10	foc	1700	10_10	300	church	0.22239654193762567
church.foc5.nav.weight.nobound.soc10.5000	-0.18127992006265697	0.1304582648673787	466	nav	nobound	weight	5_5	5000	5e3	10_10	284	church	0.2290784585645547
church.foc5.nav.weight.nobound.soc10.10000	-0.18741364955587894	0.20368605138659104	466	nav	nobound	weight	5_5	10000	1e4	10_10	284	church	0.2259324854396924
church.foc5.nav.weight.nobound.soc10.foc	-0.3051680951436696	0.13812225985984342	466	nav	nobound	weight	5_5	foc	466	10_10	284	church	0.22422398969469387
church.foc5.nav.selection.nobound.soc10.5000	-0.15753778808602711	0.11380563070598021	466	nav	nobound	selection	5_5	5000	5e3	10_10	284	church	0.23037033682356609
church.foc5.nav.selection.nobound.soc10.10000	-0.20552322754193406	0.11588166874841256	466	nav	nobound	selection	5_5	10000	1e4	10_10	284	church	0.2294240480011264
church.foc5.nav.selection.nobound.soc10.foc	-0.2995925145529775	0.2120846493223762	466	nav	nobound	selection	5_5	foc	466	10_10	284	church	0.21796485878774902
church.foc5.nav.noweight.nobound.soc10.5000	0.1743188020625717	0.06009111279053331	799	nav	nobound	noweight	5_5	5000	5e3	10_10	300	church	0.24857289010387237
church.foc5.nav.noweight.nobound.soc10.10000	0.19127690994497076	0.05975496434602132	799	nav	nobound	noweight	5_5	10000	1e4	10_10	300	church	0.2437019409225348
church.foc5.nav.noweight.nobound.soc10.foc	0.14983932763137575	0.07245632047298459	799	nav	nobound	noweight	5_5	foc	799	10_10	300	church	0.2326847051228962
church.foc5.all.weight.nobound.soc10.5000	-0.035798160858752114	0.11207305672391346	524	all	nobound	weight	5_5	5000	5e3	10_10	296	church	0.22483478804647056
church.foc5.all.weight.nobound.soc10.10000	-0.02531438387800898	0.11370733382550098	524	all	nobound	weight	5_5	10000	1e4	10_10	296	church	0.22277098176887952
church.foc5.all.weight.nobound.soc10.foc	0.023258377289790147	0.14462696152415902	524	all	nobound	weight	5_5	foc	524	10_10	296	church	0.23088714735539592
church.foc5.all.selection.nobound.soc10.5000	-0.0260793055675959	0.1346070570131007	524	all	nobound	selection	5_5	5000	5e3	10_10	296	church	0.22907653865002
church.foc5.all.selection.nobound.soc10.10000	-0.0407560017463599	0.15598516796971174	524	all	nobound	selection	5_5	10000	1e4	10_10	296	church	0.22919151353904893
church.foc5.all.selection.nobound.soc10.foc	0.07629551027026538	0.24155043328850687	524	all	nobound	selection	5_5	foc	524	10_10	296	church	0.22487057807691566
church.foc5.all.noweight.nobound.soc10.5000	0.2950222597377696	0.03783180699370959	970	all	nobound	noweight	5_5	5000	5e3	10_10	300	church	0.2418008387034503
church.foc5.all.noweight.nobound.soc10.10000	0.31873966801415754	0.04151093231736996	970	all	nobound	noweight	5_5	10000	1e4	10_10	300	church	0.241708360739765
church.foc5.all.noweight.nobound.soc10.foc	0.2842384086565408	0.17347482106559653	970	all	nobound	noweight	5_5	foc	970	10_10	300	church	0.22534151727165108
church.foc10.nav.weight.bound.soc10.5000	-0.29798055565824105	-0.04606218775780076	685	nav	bound	weight	10_10	5000	5e3	10_10	294	church	0.20943466762611956
church.foc10.nav.weight.bound.soc10.10000	-0.23060016124420107	-0.09493686361306768	685	nav	bound	weight	10_10	10000	1e4	10_10	294	church	0.20559352236342934
church.foc10.nav.weight.bound.soc10.foc	-0.3200884919118055	-0.05373001426094007	685	nav	bound	weight	10_10	foc	685	10_10	294	church	0.2000988553391303
church.foc10.nav.selection.bound.soc10.5000	-0.25357413579780813	-0.1270154099894518	685	nav	bound	selection	10_10	5000	5e3	10_10	294	church	0.2029907728405961
church.foc10.nav.selection.bound.soc10.10000	-0.2678610524982946	-0.14003891272798746	685	nav	bound	selection	10_10	10000	1e4	10_10	294	church	0.20163210831325398
church.foc10.nav.selection.bound.soc10.foc	-0.24439153107648362	-0.11011400427406504	685	nav	bound	selection	10_10	foc	685	10_10	294	church	0.18900301540164335
church.foc10.nav.noweight.bound.soc10.5000	0.10549854091891699	-0.13049762378242202	1349	nav	bound	noweight	10_10	5000	5e3	10_10	300	church	0.23202865810327955
church.foc10.nav.noweight.bound.soc10.10000	0.11442161842644223	-0.16070111525226413	1349	nav	bound	noweight	10_10	10000	1e4	10_10	300	church	0.22763302161756527
church.foc10.nav.noweight.bound.soc10.foc	0.05883061824270327	-0.11082550626842962	1349	nav	bound	noweight	10_10	foc	1349	10_10	300	church	0.20950520529042324
church.foc10.all.weight.bound.soc10.5000	-0.10541090452825058	-0.11265133560410899	764	all	bound	weight	10_10	5000	5e3	10_10	300	church	0.20664293122698887
church.foc10.all.weight.bound.soc10.10000	-0.11368056916722717	-0.1336929224183426	764	all	bound	weight	10_10	10000	1e4	10_10	300	church	0.20626348599607888
church.foc10.all.weight.bound.soc10.foc	-0.16416461678944036	-0.21988961846769486	764	all	bound	weight	10_10	foc	764	10_10	300	church	0.21146872823235782
church.foc10.all.selection.bound.soc10.5000	-0.05839527652954391	-0.08934166642038822	764	all	bound	selection	10_10	5000	5e3	10_10	300	church	0.20818690052683242
church.foc10.all.selection.bound.soc10.10000	-0.06697708655219799	-0.10916455474738045	764	all	bound	selection	10_10	10000	1e4	10_10	300	church	0.20943965769672676
church.foc10.all.selection.bound.soc10.foc	-0.025420446590362265	-0.1556714531216246	764	all	bound	selection	10_10	foc	764	10_10	300	church	0.20673415979713142
church.foc10.all.noweight.bound.soc10.5000	0.36590799776245053	-0.1198224255205225	1587	all	bound	noweight	10_10	5000	5e3	10_10	300	church	0.23270146822382778
church.foc10.all.noweight.bound.soc10.10000	0.34379778459816523	-0.1267507263210657	1587	all	bound	noweight	10_10	10000	1e4	10_10	300	church	0.2312779874111073
church.foc10.all.noweight.bound.soc10.foc	0.28180823112975023	-0.20581998272743313	1587	all	bound	noweight	10_10	foc	1587	10_10	300	church	0.223782311234283
church.foc5.nav.weight.bound.soc10.5000	-0.15098481497782507	0.12133754408488402	454	nav	bound	weight	5_5	5000	5e3	10_10	281	church	0.2290161371044284
church.foc5.nav.weight.bound.soc10.10000	-0.14903381859354556	0.1193348355997993	454	nav	bound	weight	5_5	10000	1e4	10_10	281	church	0.2261992534501904
church.foc5.nav.weight.bound.soc10.foc	-0.25238325675495227	0.24854960521724126	454	nav	bound	weight	5_5	foc	454	10_10	281	church	0.2248187849828151
church.foc5.nav.selection.bound.soc10.5000	-0.2374415097903206	0.11801335462268493	454	nav	bound	selection	5_5	5000	5e3	10_10	281	church	0.23380713708448092
church.foc5.nav.selection.bound.soc10.10000	-0.1200958429320152	0.12835557306218767	454	nav	bound	selection	5_5	10000	1e4	10_10	281	church	0.2334319988819877
church.foc5.nav.selection.bound.soc10.foc	-0.3147098519616152	0.12093533625266199	454	nav	bound	selection	5_5	foc	454	10_10	281	church	0.22134272348568845
church.foc5.nav.noweight.bound.soc10.5000	0.19399409014918062	0.0531635037370848	772	nav	bound	noweight	5_5	5000	5e3	10_10	299	church	0.24848411868770157
church.foc5.nav.noweight.bound.soc10.10000	0.24806549850738288	0.0575886832487738	772	nav	bound	noweight	5_5	10000	1e4	10_10	299	church	0.24445813094817423
church.foc5.nav.noweight.bound.soc10.foc	0.11745893560890237	0.05952463761901807	772	nav	bound	noweight	5_5	foc	772	10_10	299	church	0.23427666078176038
church.foc5.all.weight.bound.soc10.5000	-0.028539743528287437	0.09653384344636975	511	all	bound	weight	5_5	5000	5e3	10_10	296	church	0.22643824844747693
church.foc5.all.weight.bound.soc10.10000	-0.026729921607694662	0.10717977483479038	511	all	bound	weight	5_5	10000	1e4	10_10	296	church	0.224592869738284
church.foc5.all.weight.bound.soc10.foc	0.024111149273714685	0.3031137955990541	511	all	bound	weight	5_5	foc	511	10_10	296	church	0.23442162545439538
church.foc5.all.selection.bound.soc10.5000	-0.02800706430546315	0.15681631490754838	511	all	bound	selection	5_5	5000	5e3	10_10	296	church	0.22954182270043733
church.foc5.all.selection.bound.soc10.10000	-0.038436982497917056	0.1593704457309297	511	all	bound	selection	5_5	10000	1e4	10_10	296	church	0.23042465713017346
church.foc5.all.selection.bound.soc10.foc	0.0878735432628308	0.23159775247716635	511	all	bound	selection	5_5	foc	511	10_10	296	church	0.22906965774235225
church.foc5.all.noweight.bound.soc10.5000	0.3586223448479223	0.02089089474662416	940	all	bound	noweight	5_5	5000	5e3	10_10	300	church	0.24428181156033243
church.foc5.all.noweight.bound.soc10.10000	0.30975595508637427	0.029536569034521887	940	all	bound	noweight	5_5	10000	1e4	10_10	300	church	0.24540917277971125
church.foc5.all.noweight.bound.soc10.foc	0.36799090038605514	0.1735028049502362	940	all	bound	noweight	5_5	foc	940	10_10	300	church	0.2310226878715346
