_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	foc_base	stress	soc_vector	pam_cluster	is_medoid
schaal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.0478370958976683	-0.06320671264550021	1	5000	5000	311	schaal	NA	NA	bound	557	lex	10_10	weight	nav	4_4	BOW	0.13280550597226234	nav_5000	c1	0
schaal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.123539486736736	-0.09958591944361041	1	5000	5000	311	schaal	NA	NA	bound	557	lex	10_10	weight	all	4_4	BOW	0.14204184377072765	all_5000	c1	0
schaal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.010784559731240513	-0.08032964942846467	1	FOC	447	311	schaal	NA	NA	bound	557	lex	10_10	weight	nav	4_4	BOW	0.1294715625618795	nav_FOC	c2	0
schaal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.007176136891852633	-0.07090094248639454	1	FOC	557	311	schaal	NA	NA	bound	557	lex	10_10	weight	all	4_4	BOW	0.13259120549344774	all_FOC	c2	0
schaal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.07916124903671914	-0.06660797746923497	1	5000	5000	311	schaal	NA	NA	bound	557	lex	10_10	selection	nav	4_4	BOW	0.17661305941828426	nav_5000	c3	0
schaal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.021029964884396783	-0.2454693171501932	1	5000	5000	311	schaal	NA	NA	bound	557	lex	10_10	selection	all	4_4	BOW	0.18165116505182638	all_5000	c3	0
schaal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.16635475022522742	-0.08748913570190475	1	FOC	447	311	schaal	NA	NA	bound	557	lex	10_10	selection	nav	4_4	BOW	0.17333379978607064	nav_FOC	c3	0
schaal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.15899951412952776	-0.08158207027214132	1	FOC	557	311	schaal	NA	NA	bound	557	lex	10_10	selection	all	4_4	BOW	0.17065365060266732	all_FOC	c3	0
schaal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.2162086477852109	-0.08350904082970778	1	5000	5000	318	schaal	NA	NA	bound	1117	lex	10_10	no	nav	4_4	BOW	0.1953187251606055	nav_5000	c4	0
schaal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.4392074505591337	-0.24655880595573534	1	5000	5000	318	schaal	NA	NA	bound	1117	lex	10_10	no	all	4_4	BOW	0.20714788841304965	all_5000	c5	0
schaal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.2528530891067379	-0.07617783041381286	1	FOC	880	318	schaal	NA	NA	bound	1117	lex	10_10	no	nav	4_4	BOW	0.19473634658452788	nav_FOC	c4	0
schaal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.2599339229179532	-0.0743142052433475	1	FOC	1117	318	schaal	NA	NA	bound	1117	lex	10_10	no	all	4_4	BOW	0.18854383184322007	all_FOC	c4	0
schaal.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.05695378349112592	-0.02656928105357705	1	5000	5000	318	schaal	NA	NA	bound	708	all	10_10	weight	nav	4_4	BOW	0.1275307716438917	nav_5000	c2	0
schaal.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.1104490945283154	-0.010057455215771	1	5000	5000	318	schaal	NA	NA	bound	708	all	10_10	weight	all	4_4	BOW	0.13176656191355113	all_5000	c6	0
schaal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.01419406977399056	-0.0439553097485083	1	FOC	447	318	schaal	NA	NA	bound	708	all	10_10	weight	nav	4_4	BOW	0.1516741361419944	nav_FOC	c2	0
schaal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.006007775033666437	-0.03509407626290938	1	FOC	708	318	schaal	NA	NA	bound	708	all	10_10	weight	all	4_4	BOW	0.1460608607192935	all_FOC	c2	0
schaal.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.1903738771122358	0.09784696440492721	1	5000	5000	318	schaal	NA	NA	bound	708	all	10_10	selection	nav	4_4	BOW	0.19690554923013337	nav_5000	c7	0
schaal.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.19467211445033028	0.35581118738631884	1	5000	5000	318	schaal	NA	NA	bound	708	all	10_10	selection	all	4_4	BOW	0.21159826616563332	all_5000	c5	0
schaal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.23087026580166403	0.008127911251283823	1	FOC	447	318	schaal	NA	NA	bound	708	all	10_10	selection	nav	4_4	BOW	0.1846325321087828	nav_FOC	c7	0
schaal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.2280522272176811	0.02461830938244464	1	FOC	708	318	schaal	NA	NA	bound	708	all	10_10	selection	all	4_4	BOW	0.1880491582187897	all_FOC	c7	0
schaal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.3072173753930914	0.03200258378520346	1	5000	5000	318	schaal	NA	NA	bound	1485	all	10_10	no	nav	4_4	BOW	0.20841924512801982	nav_5000	c4	0
schaal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.43326671115557075	0.3300517328165683	1	5000	5000	318	schaal	NA	NA	bound	1485	all	10_10	no	all	4_4	BOW	0.2073721814527292	all_5000	c5	0
schaal.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.3189936949649289	3.3037805711389395e-4	1	FOC	880	318	schaal	NA	NA	bound	1485	all	10_10	no	nav	4_4	BOW	0.19519200617109836	nav_FOC	c4	1
schaal.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.34760042341133546	0.024032416767316305	1	FOC	1485	318	schaal	NA	NA	bound	1485	all	10_10	no	all	4_4	BOW	0.1917322062641537	all_FOC	c4	0
schaal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07441270421380054	-0.0737702854116225	1	5000	5000	301	schaal	NA	NA	bound	412	lex	5_5	weight	nav	4_4	BOW	0.12939609013871178	nav_5000	c1	0
schaal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.15325300681939963	-0.10862329593724301	1	5000	5000	301	schaal	NA	NA	bound	412	lex	5_5	weight	all	4_4	BOW	0.14511130707774364	all_5000	c1	0
schaal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.019558164402032188	-0.09299515199564228	1	FOC	330	301	schaal	NA	NA	bound	412	lex	5_5	weight	nav	4_4	BOW	0.14450372525020855	nav_FOC	c2	0
schaal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.01785451353231469	-0.08298572031465043	1	FOC	412	301	schaal	NA	NA	bound	412	lex	5_5	weight	all	4_4	BOW	0.1449125328399365	all_FOC	c2	0
schaal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.002454656154871279	-0.09470887168518793	1	5000	5000	301	schaal	NA	NA	bound	412	lex	5_5	selection	nav	4_4	BOW	0.1662509123291929	nav_5000	c3	0
schaal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.11213926062706489	-0.18776939184042973	1	5000	5000	301	schaal	NA	NA	bound	412	lex	5_5	selection	all	4_4	BOW	0.1680435188302034	all_5000	c1	0
schaal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.09305911764157068	-0.10421301247969121	1	FOC	330	301	schaal	NA	NA	bound	412	lex	5_5	selection	nav	4_4	BOW	0.17914762137141102	nav_FOC	c3	0
schaal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.09094865428464395	-0.09642833938667845	1	FOC	412	301	schaal	NA	NA	bound	412	lex	5_5	selection	all	4_4	BOW	0.17854899884503514	all_FOC	c3	1
schaal.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.08584179196125495	-0.06903897208514596	1	5000	5000	314	schaal	NA	NA	bound	673	lex	5_5	no	nav	4_4	BOW	0.19921849030379798	nav_5000	c3	0
schaal.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.0786517510044365	-0.3389818185085235	1	5000	5000	314	schaal	NA	NA	bound	673	lex	5_5	no	all	4_4	BOW	0.20172112125564168	all_5000	c5	0
schaal.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.14361718180096864	-0.0651708402813681	1	FOC	540	314	schaal	NA	NA	bound	673	lex	5_5	no	nav	4_4	BOW	0.20767645775518276	nav_FOC	c3	0
schaal.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	0.1486652211867263	-0.06182460997956021	1	FOC	673	314	schaal	NA	NA	bound	673	lex	5_5	no	all	4_4	BOW	0.2022856834183902	all_FOC	c3	0
schaal.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.07641190464711453	-0.02640218221265591	1	5000	5000	318	schaal	NA	NA	bound	522	all	5_5	weight	nav	4_4	BOW	0.12332659373178326	nav_5000	c2	0
schaal.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.12125708694298314	-0.01095604952574429	1	5000	5000	318	schaal	NA	NA	bound	522	all	5_5	weight	all	4_4	BOW	0.1385419882938053	all_5000	c6	0
schaal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.010460044797407851	-0.04201918696659146	1	FOC	330	318	schaal	NA	NA	bound	522	all	5_5	weight	nav	4_4	BOW	0.16284206714626967	nav_FOC	c2	0
schaal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.015007084763710033	-0.03145237442848234	1	FOC	522	318	schaal	NA	NA	bound	522	all	5_5	weight	all	4_4	BOW	0.14961364786011583	all_FOC	c2	0
schaal.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.04040586962720752	0.08093021400200945	1	5000	5000	318	schaal	NA	NA	bound	522	all	5_5	selection	nav	4_4	BOW	0.17620978658504635	nav_5000	c7	0
schaal.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.0029419678691320426	0.2622374098947921	1	5000	5000	318	schaal	NA	NA	bound	522	all	5_5	selection	all	4_4	BOW	0.21033096235553397	all_5000	c5	0
schaal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.13754162076718696	0.009575680089154322	1	FOC	330	318	schaal	NA	NA	bound	522	all	5_5	selection	nav	4_4	BOW	0.19168359482414185	nav_FOC	c7	0
schaal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.1257759542233294	0.0193213237379642	1	FOC	522	318	schaal	NA	NA	bound	522	all	5_5	selection	all	4_4	BOW	0.19008101550751028	all_FOC	c7	1
schaal.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.12239891011579447	0.07538410509463046	1	5000	5000	318	schaal	NA	NA	bound	889	all	5_5	no	nav	4_4	BOW	0.1990449257783052	nav_5000	c7	0
schaal.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.15160064182678062	0.34616789612734383	1	5000	5000	318	schaal	NA	NA	bound	889	all	5_5	no	all	4_4	BOW	0.22406515060307441	all_5000	c5	1
schaal.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.1778270410361416	0.025292680041732518	1	FOC	540	318	schaal	NA	NA	bound	889	all	5_5	no	nav	4_4	BOW	0.19901636426659228	nav_FOC	c7	0
schaal.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.20445392809001972	0.04886962487850249	1	FOC	889	318	schaal	NA	NA	bound	889	all	5_5	no	all	4_4	BOW	0.1968530814070788	all_FOC	c7	0
schaal.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.09700957603428514	-0.07631968705558526	1	5000	5000	280	schaal	NA	NA	bound	287	lex	3_3	weight	nav	4_4	BOW	0.11169867599667903	nav_5000	c1	1
schaal.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.16365021061736815	-0.09512749930046221	1	5000	5000	280	schaal	NA	NA	bound	287	lex	3_3	weight	all	4_4	BOW	0.13818701675253542	all_5000	c1	0
schaal.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.05695102737157419	-0.09596415263192136	1	FOC	233	280	schaal	NA	NA	bound	287	lex	3_3	weight	nav	4_4	BOW	0.1632657094205483	nav_FOC	c1	0
schaal.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.05985723237810522	-0.09444640935852731	1	FOC	287	280	schaal	NA	NA	bound	287	lex	3_3	weight	all	4_4	BOW	0.1680902438549528	all_FOC	c1	0
schaal.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.08642366239298487	-0.09470697300183972	1	5000	5000	280	schaal	NA	NA	bound	287	lex	3_3	selection	nav	4_4	BOW	0.1421722579014906	nav_5000	c1	0
schaal.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.1655194904718796	-0.1238859193855165	1	5000	5000	280	schaal	NA	NA	bound	287	lex	3_3	selection	all	4_4	BOW	0.16105401177238937	all_5000	c1	0
schaal.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.013752912392311594	-0.12302198731417163	1	FOC	233	280	schaal	NA	NA	bound	287	lex	3_3	selection	nav	4_4	BOW	0.18270894693455628	nav_FOC	c3	0
schaal.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.008268638512740414	-0.11845216882002879	1	FOC	287	280	schaal	NA	NA	bound	287	lex	3_3	selection	all	4_4	BOW	0.18709732233984866	all_FOC	c3	0
schaal.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.04251802265770427	-0.10664846060873052	1	5000	5000	296	schaal	NA	NA	bound	407	lex	3_3	no	nav	4_4	BOW	0.17323342979357303	nav_5000	c1	0
schaal.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.1568354932092364	-0.20143138923564477	1	5000	5000	296	schaal	NA	NA	bound	407	lex	3_3	no	all	4_4	BOW	0.19129827956429668	all_5000	c1	0
schaal.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.06435354131020257	-0.12515834924500563	1	FOC	329	296	schaal	NA	NA	bound	407	lex	3_3	no	nav	4_4	BOW	0.19231602547756055	nav_FOC	c3	0
schaal.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.06511933885795777	-0.1273452942315058	1	FOC	407	296	schaal	NA	NA	bound	407	lex	3_3	no	all	4_4	BOW	0.19775749696576625	all_FOC	c3	0
schaal.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11371705130999549	-0.04094830554274177	1	5000	5000	317	schaal	NA	NA	bound	353	all	3_3	weight	nav	4_4	BOW	0.1086843313671738	nav_5000	c6	0
schaal.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	-0.1518125914704047	-0.027626873472710107	1	5000	5000	317	schaal	NA	NA	bound	353	all	3_3	weight	all	4_4	BOW	0.13828872112109014	all_5000	c6	0
schaal.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.052139111296530836	-0.04398556049140575	1	FOC	233	317	schaal	NA	NA	bound	353	all	3_3	weight	nav	4_4	BOW	0.18192480916924003	nav_FOC	c2	0
schaal.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.05979581905216796	-0.03709508805896713	1	FOC	353	317	schaal	NA	NA	bound	353	all	3_3	weight	all	4_4	BOW	0.15348164757314572	all_FOC	c2	0
schaal.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	-0.053421540737062796	0.07674249120123632	1	5000	5000	317	schaal	NA	NA	bound	353	all	3_3	selection	nav	4_4	BOW	0.1529994013045266	nav_5000	c8	0
schaal.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	-0.10379461007690811	0.16908301754504357	1	5000	5000	317	schaal	NA	NA	bound	353	all	3_3	selection	all	4_4	BOW	0.15976490135470606	all_5000	c8	0
schaal.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.051853908967998324	0.060817242867187565	1	FOC	233	317	schaal	NA	NA	bound	353	all	3_3	selection	nav	4_4	BOW	0.19344197437246885	nav_FOC	c7	0
schaal.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.03522143316647813	0.05406997994160872	1	FOC	353	317	schaal	NA	NA	bound	353	all	3_3	selection	all	4_4	BOW	0.1858413958135887	all_FOC	c7	0
schaal.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	-0.021177517642872273	0.08316803002634564	1	5000	5000	317	schaal	NA	NA	bound	538	all	3_3	no	nav	4_4	BOW	0.16194652478135532	nav_5000	c8	0
schaal.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	-0.0683127374870667	0.21808342835771788	1	5000	5000	317	schaal	NA	NA	bound	538	all	3_3	no	all	4_4	BOW	0.1954857981963238	all_5000	c8	0
schaal.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.07991495420831607	0.066362611350557	1	FOC	329	317	schaal	NA	NA	bound	538	all	3_3	no	nav	4_4	BOW	0.19982119964179018	nav_FOC	c7	0
schaal.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.07823574252472704	0.06869411037418545	1	FOC	538	317	schaal	NA	NA	bound	538	all	3_3	no	all	4_4	BOW	0.18983134962041842	all_FOC	c7	0
schaal.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.04240429233101512	-0.059044372418303105	1	5000	5000	315	schaal	NA	NA	nobound	640	lex	10_10	weight	nav	4_4	BOW	0.1301841268724663	nav_5000	c1	0
schaal.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.12196967494162497	-0.10276651980881907	1	5000	5000	315	schaal	NA	NA	nobound	640	lex	10_10	weight	all	4_4	BOW	0.14202329685573545	all_5000	c1	0
schaal.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.01764056192648871	-0.08376514155514125	1	FOC	506	315	schaal	NA	NA	nobound	640	lex	10_10	weight	nav	4_4	BOW	0.12178757694920701	nav_FOC	c2	0
schaal.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.01113354003982634	-0.07416928616483152	1	FOC	640	315	schaal	NA	NA	nobound	640	lex	10_10	weight	all	4_4	BOW	0.12659038481471388	all_FOC	c2	0
schaal.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.1240781943209704	-0.07049335986074423	1	5000	5000	315	schaal	NA	NA	nobound	640	lex	10_10	selection	nav	4_4	BOW	0.17455721073951994	nav_5000	c3	0
schaal.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.11725454708601245	-0.3092407781741144	1	5000	5000	315	schaal	NA	NA	nobound	640	lex	10_10	selection	all	4_4	BOW	0.1898767121602994	all_5000	c3	0
schaal.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.19081250649134607	-0.0906617719624145	1	FOC	506	315	schaal	NA	NA	nobound	640	lex	10_10	selection	nav	4_4	BOW	0.16880644418812932	nav_FOC	c3	0
schaal.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.1794379893600926	-0.08252063574336779	1	FOC	640	315	schaal	NA	NA	nobound	640	lex	10_10	selection	all	4_4	BOW	0.16818902655837448	all_FOC	c3	0
schaal.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.27367441040237517	-0.0912938080383931	1	5000	5000	318	schaal	NA	NA	nobound	1410	lex	10_10	no	nav	4_4	BOW	0.17709378609993662	nav_5000	c4	0
schaal.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	0.5948212840968657	-0.19818690444570705	1	5000	5000	318	schaal	NA	NA	nobound	1410	lex	10_10	no	all	4_4	BOW	0.18376353348782992	all_5000	c5	0
schaal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.2812253631609244	-0.08253219746583591	1	FOC	1092	318	schaal	NA	NA	nobound	1410	lex	10_10	no	nav	4_4	BOW	0.1776980936812273	nav_FOC	c4	0
schaal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.28807154113274824	-0.0794559170962519	1	FOC	1410	318	schaal	NA	NA	nobound	1410	lex	10_10	no	all	4_4	BOW	0.17169730893685908	all_FOC	c4	0
schaal.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.0491633964280218	-0.028654760715229516	1	5000	5000	318	schaal	NA	NA	nobound	809	all	10_10	weight	nav	4_4	BOW	0.13027872606216337	nav_5000	c2	0
schaal.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.10449328325059573	-0.008487852619818836	1	5000	5000	318	schaal	NA	NA	nobound	809	all	10_10	weight	all	4_4	BOW	0.1351895068323439	all_5000	c6	0
schaal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.020347383409264265	-0.049263111431517403	1	FOC	506	318	schaal	NA	NA	nobound	809	all	10_10	weight	nav	4_4	BOW	0.14022960456157976	nav_FOC	c2	0
schaal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.010475424565298588	-0.04034732986280689	1	FOC	809	318	schaal	NA	NA	nobound	809	all	10_10	weight	all	4_4	BOW	0.14314996623530746	all_FOC	c2	0
schaal.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.24117850048406417	0.08641291947919134	1	5000	5000	318	schaal	NA	NA	nobound	809	all	10_10	selection	nav	4_4	BOW	0.1958940774616027	nav_5000	c7	0
schaal.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.25002588060193276	0.3917531075112473	1	5000	5000	318	schaal	NA	NA	nobound	809	all	10_10	selection	all	4_4	BOW	0.19157081004108814	all_5000	c5	0
schaal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.26094755379509393	-0.0015377764955639593	1	FOC	506	318	schaal	NA	NA	nobound	809	all	10_10	selection	nav	4_4	BOW	0.17871505888530548	nav_FOC	c4	0
schaal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.25772879540675814	0.012633878015072016	1	FOC	809	318	schaal	NA	NA	nobound	809	all	10_10	selection	all	4_4	BOW	0.1800585133604319	all_FOC	c4	0
schaal.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	0.365237985515646	0.00676864450066668	1	5000	5000	318	schaal	NA	NA	nobound	1858	all	10_10	no	nav	4_4	BOW	0.20293669407864584	nav_5000	c4	0
schaal.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.5837205130368859	0.32536967877607853	1	5000	5000	318	schaal	NA	NA	nobound	1858	all	10_10	no	all	4_4	BOW	0.1846342480670228	all_5000	c5	0
schaal.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.3554902210602047	-0.01549955081226908	1	FOC	1092	318	schaal	NA	NA	nobound	1858	all	10_10	no	nav	4_4	BOW	0.19741697630784338	nav_FOC	c4	0
schaal.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	0.3860356345910101	0.0042379375901788995	1	FOC	1858	318	schaal	NA	NA	nobound	1858	all	10_10	no	all	4_4	BOW	0.18711527025690303	all_FOC	c4	0
schaal.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07438682108326314	-0.08149377556676339	1	5000	5000	305	schaal	NA	NA	nobound	440	lex	5_5	weight	nav	4_4	BOW	0.1267406620383258	nav_5000	c1	0
schaal.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.15626837820083875	-0.11797359828822826	1	5000	5000	305	schaal	NA	NA	nobound	440	lex	5_5	weight	all	4_4	BOW	0.14429544905252595	all_5000	c1	0
schaal.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.019493659062094864	-0.104043224375319	1	FOC	352	305	schaal	NA	NA	nobound	440	lex	5_5	weight	nav	4_4	BOW	0.13612162579498155	nav_FOC	c2	0
schaal.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.019823511767375644	-0.09413435275581516	1	FOC	440	305	schaal	NA	NA	nobound	440	lex	5_5	weight	all	4_4	BOW	0.13491648307968906	all_FOC	c2	0
schaal.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	0.007503000697420584	-0.10553340354877401	1	5000	5000	305	schaal	NA	NA	nobound	440	lex	5_5	selection	nav	4_4	BOW	0.16642490302235183	nav_5000	c3	0
schaal.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.1116725875117963	-0.2094840546401147	1	5000	5000	305	schaal	NA	NA	nobound	440	lex	5_5	selection	all	4_4	BOW	0.16777916067768697	all_5000	c1	0
schaal.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.10062312941189855	-0.11483464122443449	1	FOC	352	305	schaal	NA	NA	nobound	440	lex	5_5	selection	nav	4_4	BOW	0.17380158965419876	nav_FOC	c3	0
schaal.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.09417440310533222	-0.10705366578397274	1	FOC	440	305	schaal	NA	NA	nobound	440	lex	5_5	selection	all	4_4	BOW	0.17342537076157466	all_FOC	c3	0
schaal.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.09389345154538019	-0.07176204081865609	1	5000	5000	316	schaal	NA	NA	nobound	736	lex	5_5	no	nav	4_4	BOW	0.1989019907206213	nav_5000	c3	0
schaal.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.09811409091844193	-0.3657112400892881	1	5000	5000	316	schaal	NA	NA	nobound	736	lex	5_5	no	all	4_4	BOW	0.20316320549374017	all_5000	c5	0
